id,gender,birth,degree
1,F,1983-02-13,1a
2,F,1949-02-02,1d
3,F,1976-11-16,1b
4,M,1956-05-12,1c
5,M,1973-01-24,1b
6,F,1952-06-16,1d
7,F,1978-06-01,1c
8,M,1976-01-03,1b
9,F,1952-05-05,1c
10,F,1967-05-07,1d
11,M,1938-05-30,1b
12,M,1946-11-01,1b
13,M,1971-11-20,1c
14,F,1967-02-11,1c
15,F,1963-05-29,1d
16,F,1975-08-19,1c
17,M,1950-05-04,1c
18,M,1935-09-30,1d
19,M,1954-07-14,1g
20,F,1973-08-20,1c
21,M,1976-11-20,1b
22,F,1979-01-16,1d
23,M,1968-08-19,1d
24,M,1955-10-26,1b
25,M,1957-02-26,1d
26,F,1959-03-20,1g
27,M,1979-02-07,1d
28,M,1951-07-23,1b
29,M,1955-07-22,1d
30,M,1937-08-16,1c
31,F,1978-11-14,1d
32,M,1977-12-12,1d
33,F,1968-07-14,1g
34,M,1963-11-19,1g
35,M,1969-11-13,1d
36,M,1971-02-25,1c
37,M,1955-06-27,1c
38,M,1963-12-03,1d
39,M,1957-06-15,1d
40,F,1947-02-15,1d
41,M,1946-11-04,1c
42,M,1976-06-22,1c
43,F,1971-10-12,1b
44,M,1969-12-03,1b
45,M,1961-11-12,1d
46,M,1965-06-27,1b
47,F,1976-10-08,1c
48,F,1973-01-19,1b
49,M,1956-03-16,1b
50,M,1959-08-05,1d
51,M,1968-09-04,1a
52,F,1975-02-20,1b
53,M,1941-06-15,1d
54,M,1969-03-30,1d
55,M,1971-11-23,1c
56,M,1958-08-28,1c
57,M,1973-03-15,1d
58,M,1974-05-20,1c
59,M,1976-06-09,1b
60,M,1969-08-13,1a
61,M,1970-11-03,1b
62,M,1973-04-30,1e
63,M,1943-07-03,1e
64,M,1964-05-18,1d
65,M,1971-02-15,1d
66,M,1974-04-25,1c
67,F,1951-07-22,1d
68,M,1972-11-30,1b
69,M,1947-01-19,1b
70,M,1957-01-31,1d
71,M,1975-05-03,1c
72,M,1966-06-14,1b
73,M,1944-02-07,1d
74,M,1978-04-13,1d
75,M,1956-01-15,1c
76,F,1980-02-25,1d
77,M,1968-12-06,1c
78,F,1967-03-02,1c
79,F,1974-10-09,1b
80,F,1951-05-24,1d
81,M,1950-05-26,1d
82,M,1960-01-15,1c
